,brand,title,storage,camera,battery,total_ratings,avg_rating,total_reviews,price
34,MOTOROLA,"MOTOROLA Edge 40 (Lunar Blue, 256 GB)",8 GB RAM | 256 GB ROM,50MP + 13MP | 32MP Front Camera,4400 mAh Battery,"12,911",4.2,"2,194","29,999"
35,MOTOROLA,"MOTOROLA Edge 40 (Eclipse Black, 256 GB)",8 GB RAM | 256 GB ROM,50MP + 13MP | 32MP Front Camera,4400 mAh Battery,"12,911",4.2,"2,194","29,999"
36,IQOO,"IQOO Neo 7 5G (Interstellar Black, 128 GB)",8 GB RAM | 128 GB ROM,64MP Rear Camera,5000 mAh Battery,735,4.4,78,"29,832"
37,POCO,"POCO F5 5G (Electric Blue, 256 GB)",8 GB RAM | 256 GB ROM,64MP (OIS) + 8MP + 2MP | 16MP Front Camera,5000 mAh Battery,"5,332",4.3,810,"26,999"
38,realme,"realme 11 Pro 5G (Oasis Green, 256 GB)",8 GB RAM | 256 GB ROM,100MP (OIS) + 2MP | 16MP Front Camera,5000 mAh Battery,"17,546",4.3,"1,778","24,999"
39,IQOO,"IQOO Neo 7 5G (Frost Blue, 128 GB)",8 GB RAM | 128 GB ROM,64MP Rear Camera,5000 mAh Battery,735,4.4,78,"29,995"
40,realme,"realme GT 2 (Paper White, 256 GB)",12 GB RAM | 256 GB ROM,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Ion Battery,"1,369",4.4,184,"28,999"
41,OnePlus,"OnePlus Nord 2T 5G (Gray Shadow, 128 GB)",8 GB RAM | 128 GB ROM,50MP Rear Camera | 32MP Front Camera,4500 mAh Battery,"11,131",4.4,954,"28,997"
42,vivo,"vivo V25 Pro 5G (Pure Black, 256 GB)",12 GB RAM | 256 GB ROM,64MP + 8MP + 2MP | 32MP Front Camera,4830 mAh Lithium Battery,"1,378",4.3,162,"29,980"
43,vivo,"vivo V25 Pro 5G (Sailing Blue, 128 GB)",8 GB RAM | 128 GB ROM,64MP + 8MP + 2MP | 32MP Front Camera,4830 mAh Lithium Battery,"6,931",4.3,938,"35,999"
44,OnePlus,"OnePlus Nord 2T 5G (Gray Shadow, 128 GB)",8 GB RAM | 128 GB ROM,50MP Rear Camera,4500 mAh Battery,"11,131",4.4,954,"28,995"
